이름,발화시간
Zena,44분 43초
Jaden,13분 59초
Monica,9분 44초
Jake,5분 50초
Irene,4분 51초
Ale,4분 3초
Jason,2분 10초
Kevin,1분 8초
Harvey,1분 3초
Thomas,0분 39초
Eugenie,0분 39초
Bernard,0분 29초
Suhyeon,0분 14초
